UAE ID,Client ID,Client Name,Bank,Products Used,AI Recommendation,Account Balance,Monthly Income,Loan Amount,Insurance Policies,FX Transactions
784-7359-202626-9,CUST1000,James Miller,Emirates NBD,Current Account,Eligible for Premium Credit Card,30516.1,25907.32,163540.43,0,3
784-7359-202626-9,CUST1000,James Miller,Abu Dhabi Commercial Bank,Insurance Plan,Eligible for Premium Credit Card,33093.34,15993.46,1868.08,2,30
784-7359-202626-9,CUST1000,James Miller,Mashreq Bank,Credit Card,Eligible for Premium Credit Card,129878.52,42466.78,151257.07,3,6
784-7359-202626-9,CUST1000,James Miller,First Abu Dhabi Bank,"Personal Loan, Credit Card",Eligible for Premium Credit Card,114847.66,47586.95,72189.31,0,12
784-1340-890284-9,CUST1001,Aisha Khalid,Emirates NBD,Insurance Plan,Eligible for Auto Loan Upgrade,30593.45,8013.43,55158.32,1,28
784-1340-890284-9,CUST1001,Aisha Khalid,Abu Dhabi Commercial Bank,"FX Account, Credit Card",Eligible for Auto Loan Upgrade,96281.4,40788.36,27231.54,1,21
784-1340-890284-9,CUST1001,Aisha Khalid,Mashreq Bank,"Savings Account, Auto Loan",Eligible for Auto Loan Upgrade,146394.72,45891.27,3141.46,1,26
784-1340-890284-9,CUST1001,Aisha Khalid,First Abu Dhabi Bank,"Insurance Plan, Savings Account",Eligible for Auto Loan Upgrade,72156.83,47643.13,52786.04,2,30
784-3727-976906-4,CUST1002,Daniel Johnson,Emirates NBD,"Credit Card, FX Account",Dormant Account – Trigger Reactivation Campaign,99678.85,30919.63,79379.83,1,25
784-3727-976906-4,CUST1002,Daniel Johnson,Abu Dhabi Commercial Bank,"Credit Card, Personal Loan, Current Account",Dormant Account – Trigger Reactivation Campaign,66383.52,45265.74,124688.91,2,6
784-3727-976906-4,CUST1002,Daniel Johnson,Mashreq Bank,Credit Card,Dormant Account – Trigger Reactivation Campaign,109436.06,42117.25,41174.47,0,20
